timestamp,qnum,user,correct,is_correct
2025-04-15T19:28:11.364546,1,B,D,False
2025-04-15T19:28:11.364546,2,B,D,False
2025-04-15T19:28:11.364546,3,A,A,True
2025-04-15T19:28:11.364546,4,C,B,False
2025-04-15T19:28:11.364546,5,C,C,True
2025-04-15T19:28:17.118190,1,B,D,False
2025-04-15T19:28:17.118190,2,B,D,False
2025-04-15T19:28:17.118190,3,A,A,True
2025-04-15T19:28:17.118190,4,C,B,False
2025-04-15T19:28:17.118190,5,C,C,True
2025-04-15T19:33:14.621945,1,B,A,False
2025-04-15T19:33:14.621945,2,A,D,False
2025-04-15T19:33:14.621945,3,C,D,False
2025-04-15T19:33:14.621945,4,A,C,False
2025-04-15T19:33:57.877475,1,B,B,True
2025-04-15T19:33:57.877475,2,D,D,True
2025-04-15T19:33:57.877475,3,A,A,True
2025-04-15T19:33:57.877475,4,A,A,True
2025-04-15T19:40:19.884707,1,B,B,True
2025-04-15T19:40:19.884707,2,D,D,True
2025-04-15T19:40:19.884707,3,A,A,True
2025-04-15T19:40:19.884707,4,A,A,True
2025-04-15T19:41:44.187349,1,A,A,True
2025-04-15T19:41:44.187349,2,B,C,False
2025-04-15T19:41:44.187349,3,D,D,True
2025-04-15T19:41:44.187349,4,D,D,True
2025-04-15T19:41:44.187349,5,B,B,True
2025-04-15T19:44:42.863107,1,B,B,True
2025-04-15T19:44:42.863107,2,A,A,True
2025-04-15T19:44:42.863107,3,D,D,True
2025-04-15T19:44:42.863107,4,B,B,True
2025-04-15T19:44:42.863107,5,B,B,True
2025-04-15T19:47:19.434741,1,C,C,True
2025-04-15T19:47:19.434741,2,B,B,True
2025-04-15T19:47:19.434741,3,B,B,True
2025-04-15T19:47:19.434741,4,D,D,True
2025-04-15T19:47:19.434741,5,C,B,False
2025-04-15T19:52:12.484548,1,A,D,False
2025-04-15T19:52:12.484548,2,D,B,False
2025-04-15T19:52:12.484548,3,A,A,True
2025-04-15T19:52:12.484548,4,B,D,False
2025-04-15T19:52:12.484548,5,D,C,False
2025-04-15T19:52:42.682573,1,A,D,False
2025-04-15T19:52:42.682573,2,D,B,False
2025-04-15T19:52:42.682573,3,A,A,True
2025-04-15T19:52:42.682573,4,B,D,False
2025-04-15T19:52:42.682573,5,D,C,False
2025-04-15T19:52:56.226830,1,A,D,False
2025-04-15T19:52:56.226830,2,D,B,False
2025-04-15T19:52:56.226830,3,A,A,True
2025-04-15T19:52:56.226830,4,B,D,False
2025-04-15T19:52:56.226830,5,D,C,False
2025-04-15T19:56:33.761973,1,B,D,False
2025-04-15T19:56:33.761973,2,A,A,True
2025-04-15T19:56:33.761973,3,C,D,False
2025-04-15T19:56:33.761973,4,C,D,False
2025-04-15T19:56:33.761973,5,C,B,False
2025-04-15T20:00:10.851340,1,B,B,True
2025-04-15T20:00:10.851340,2,A,A,True
2025-04-15T20:00:10.851340,3,B,A,False
2025-04-15T20:00:10.851340,4,A,C,False
2025-04-15T20:00:10.851340,5,D,A,False
2025-04-15T20:03:21.939375,1,B,C,False
2025-04-15T20:03:21.939375,2,A,D,False
2025-04-15T20:03:21.939375,3,C,A,False
2025-04-15T20:03:21.939375,4,D,C,False
2025-04-15T20:07:43.890426,1,C,B,False
2025-04-15T20:07:43.890426,2,B,C,False
2025-04-15T20:07:43.890426,3,A,A,True
2025-04-15T20:07:43.890426,4,A,A,True
2025-04-15T20:07:43.890426,5,B,B,True
2025-04-15T20:24:36.764438,1,B,B,True
2025-04-15T20:24:36.764438,2,C,D,False
2025-04-15T20:24:36.764438,3,B,C,False
2025-04-15T20:24:36.764438,4,A,C,False
2025-04-15T20:24:36.764438,5,D,D,True
2025-04-15T20:32:46.394849,1,B,B,True
2025-04-15T20:32:46.394849,2,D,D,True
2025-04-15T20:32:46.394849,3,C,C,True
2025-04-15T20:32:46.394849,4,A,A,True
2025-04-16T11:00:17.505979,1,B,C,False
2025-04-16T11:00:17.505979,2,D,C,False
2025-04-16T11:00:17.505979,3,C,C,True
2025-04-16T11:00:17.505979,4,A,C,False
2025-04-16T11:12:40.587673,1,A,A,True
2025-04-16T11:12:40.587673,2,B,A,False
2025-04-16T11:12:40.587673,3,C,D,False
2025-04-16T11:12:40.587673,4,D,D,True
2025-04-16T11:12:40.587673,5,A,A,True
